MorIPlist(1.5),MorUlist(5.3),MorIPlist(0.5),MorUlist(1.9),MorPlist(21.7),MorZVlist(23.1),MorIPlist(13.4),MorIPlist(10.7),MorUlist(3.2),MorIPlist(2.8),MorIPlist(16.5),MorVlist(18.6),MorZVlist(3.6),MorElist(6.6),MorVlist(9.3),MorElist(7.7),MorPlist(3.2),MorElist(14.9),MorVlist(22.2),MorElist(4.0)
148.707,42.233,5524.394,-22.582,-16.372,44.918,58.585,-45.518,33.857,15.82,-32.368,30.851,-1322.902,53.638,3.82,14.189,-0.646,20.647,-10.797,-151.925
166.357,-55.82,6414.464,-71.542,-17.618,173.116,-1.218,-72.295,-52.126,-102.164,-77.836,11.394,-657.229,86.721,11.463,21.335,-37.551,10.23,-17.226,-112.409
46.58,-42.724,7573.757,-247.348,-0.38,-97.461,61.616,-59.715,102.769,153.354,-53.559,13.753,-534.862,72.84,7.156,52.291,4.57,1.659,-3.558,-150.967
29.795,37.256,5503.94,-57.255,-19.455,125.056,60.986,-52.386,64.897,-34.054,-44.149,27.239,-1324.902,54.287,6.62,7.607,3.947,22.621,-7.052,-145.693
43.52,50.165,5436.958,-72.486,-20.505,148.873,59.416,-49.835,77.127,-4.043,-45.059,28.67,-1239.154,58.714,7.045,9.954,8.202,21.409,-8.98,-161.137
65.323,90.739,7229.4,-150.07,-4.157,-35.991,-10.443,-19.547,-11.39,-15.385,-18.184,14.817,-1208.986,-25.59,20.135,-12.769,-24.775,3.178,-11.271,-175.849
67.314,33.104,5788.258,-63.032,-10.888,196.802,64.105,-62.842,5.213,5.601,-58.642,44.034,-1614.828,65.476,22.661,-8.009,-35.966,-2.201,-21.867,-126.048
198.742,29.11,6498.183,-103.175,-3.382,-8.524,-3.905,-56.47,-10.102,7.713,-60.145,15.064,-685.465,2.536,6.213,98.802,-15.107,10.263,-4.299,-126.051
-54.951,206.236,7150.283,-130.291,-7.16,99.341,-43.7,69.505,-13.877,-26.836,17.502,12.168,-1022.664,-52.79,17.585,-136.317,-42.022,14.747,-18.836,-236.422
153.036,0.783,5391.77,-126.684,-10.106,124.168,39.573,-62.541,0.65,91.487,-60.043,14.785,-843.344,27.996,6.531,19.275,-25.086,10.057,-1.373,-116.752
152.663,199.666,5445.943,-77.548,-21.106,12.325,59.605,-5.087,90.183,40.221,-38.837,55.991,-1212.552,38.397,26.212,-28.347,18.479,-21.475,-14.268,-167.885
-374.05,66.675,7516.896,-134.056,-8.989,-28.732,2.386,-80.52,-46.987,1.288,-60.701,15.36,-624.838,-54.043,6.766,122.286,-7.139,17.985,-9.249,-158.592
38.081,217.134,5172.779,-79.526,-11.604,104.571,12.657,117.729,-60.652,58.471,-16.085,20.64,-1900.109,5.473,-2.035,-49.042,-51.258,5.092,0.749,-238.746
25.73,7.644,5901.295,-58.004,-14.384,107.074,67.435,-59.54,-74.681,67.94,-35.547,39.807,-1377.702,44.65,11.978,-7.302,-72.182,10.525,-21.807,-83.354
67.331,32.89,5788.23,-63.13,-10.974,196.468,63.823,-63.238,5.592,5.696,-58.714,44.097,-1615.69,65.295,22.691,-7.954,-35.864,-2.111,-21.85,-126.179
15.011,-22.967,7265.016,-255.32,-3.267,-99.319,59.296,-71.342,41.036,356.871,-57.073,8.266,-512.071,59.373,10.276,29.355,-7.762,14.752,-4.46,-176.179
56.011,-25.845,7269.541,-259.941,-6.329,-58.535,52.67,-68.12,97.794,207.645,-54.634,9.569,-575.861,57.627,10.595,59.857,11.425,13.772,-8.692,-168.714
89.92,-19.533,6924.948,-208.04,-0.683,-44.842,28.113,-77.122,100.199,128.614,-43.274,10.507,-677.568,65.3,7.392,28.798,6.364,8.247,-6.003,-173.077
-182.545,39.202,8071.001,-242.108,2.872,-199.853,20.095,-36.129,84.501,98.754,-38.682,0.058,-888.433,64.451,24.309,-62.075,-9.476,7.305,-1.265,-221.774
-141.092,58.865,7874.056,-283.807,0.81,-286.188,11.353,-41.118,78.829,179.025,-15.7,0.895,-1193.037,52.925,26.59,-5.709,-2.914,19.161,-1.254,-203.269
-228.681,38.931,8175.098,-237.539,4.366,-309.027,5.277,-66.021,44.809,94.143,-2.519,0.464,-1177.884,12.959,23.028,-24.133,-10.71,27.451,-0.541,-171.486
